customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total
ID0024,No,Male,0,Yes,Yes,15,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,77.06,1155.9
ID0025,No,Female,0,Yes,Yes,3,No,No phone service,No,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.23,192.69
ID0026,Yes,Male,0,Yes,Yes,37,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,75.64,2798.68
ID0027,No,Female,0,Yes,No,40,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,71.76,2870.4
ID0028,No,Female,0,No,Yes,72,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,105.88,7623.36
ID0029,Yes,Female,0,Yes,No,40,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),85.18,3407.2000000000003
ID0030,No,Male,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.88,2177.28
ID0031,Yes,Male,0,Yes,Yes,23,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),26.3,604.9
ID0032,Yes,Male,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,62.44,686.8399999999999
ID0033,No,Female,0,No,No,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),21.56,1379.84
ID0034,No,Male,0,No,No,8,Yes,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),51.83,414.64
ID0035,No,Female,0,No,Yes,56,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),56.8,3180.7999999999997
ID0036,No,Female,0,Yes,No,60,Yes,No,No,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),57.56,3453.6000000000004
ID0037,Yes,Male,0,No,No,10,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,117.94,1179.4
ID0038,No,Female,0,Yes,Yes,39,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,50.39,1965.21
ID0039,No,Male,0,Yes,Yes,28,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,46.52,1302.5600000000002
ID0040,Yes,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,32.94,1614.06
ID0041,No,Male,0,No,No,36,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),71.1,2559.6
ID0042,Yes,Male,0,No,No,13,No,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,35.37,459.80999999999995
ID0043,No,Male,0,No,Yes,36,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,81.63,2938.68
ID0044,Yes,Female,1,No,Yes,26,Yes,No phone service,No,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,35.52,923.5200000000001
ID0045,No,Female,0,Yes,No,4,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),77.67,310.68
ID0046,No,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,102.63,6568.32
ID0047,No,Male,0,No,Yes,38,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,24.25,921.5
ID0048,No,Male,0,No,No,22,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,61.97,1363.34
ID0049,Yes,Male,0,Yes,No,2,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,66.1,132.2
ID0050,No,Female,1,No,Yes,31,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),99.11,3072.41
ID0051,No,Male,0,Yes,Yes,11,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,66.79,734.69
ID0052,No,Female,0,No,No,46,Yes,No,DSL,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,76.75,3530.5
ID0053,No,Female,1,No,Yes,62,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),99.12,6145.4400000000005
ID0054,No,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.98,5242.62
ID0055,No,Male,0,No,No,64,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),55.83,3573.12
ID0056,Yes,Female,0,Yes,No,10,Yes,No phone service,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),28.58,285.79999999999995
ID0057,Yes,Male,0,Yes,Yes,40,No,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),92.99,3719.6
ID0058,Yes,Female,0,Yes,Yes,24,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,107.11,2570.64
ID0059,No,Male,1,No,Yes,44,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),117.01,5148.4400000000005
ID0060,No,Male,0,No,No,60,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,112.66,6759.599999999999
ID0061,Yes,Female,0,No,Yes,62,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,99.74,6183.88
ID0062,No,Male,0,Yes,Yes,17,Yes,No,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),84.35,1433.9499999999998
ID0063,No,Female,0,No,No,65,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),98.15,6379.75
ID0064,Yes,Male,0,Yes,No,57,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),63.21,3602.9700000000003
ID0065,No,Female,0,No,Yes,55,Yes,No phone service,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),79.48,4371.400000000001
ID0066,Yes,Female,0,Yes,No,53,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,54.87,2908.1099999999997
ID0067,No,Male,0,Yes,No,56,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,52.67,2949.52
ID0068,Yes,Female,0,Yes,Yes,9,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),95.67,861.03
ID0069,No,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,No,Credit card (automatic),65.39,1438.58
ID0070,No,Male,0,Yes,No,13,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,41.22,535.86
ID0071,Yes,Male,0,Yes,Yes,48,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),40.19,1929.12
ID0072,Yes,Female,0,Yes,No,18,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.92,1906.56
ID0073,No,Female,1,Yes,Yes,40,Yes,Yes,No,Yes,Yes,No,No,No,No,One year,No,Mailed check,87.78,3511.2
ID0074,No,Male,0,Yes,Yes,17,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,No,Electronic check,74.6,1268.1999999999998
ID0075,No,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.09,901.35
ID0076,No,Female,0,No,No,15,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,63.08,946.1999999999999
ID0077,Yes,Male,0,No,No,63,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,25.74,1621.62
ID0078,No,Male,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,65.49,2554.1099999999997
ID0079,Yes,Female,0,No,No,13,No,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,99.55,1294.1499999999999
ID0080,No,Male,0,No,Yes,32,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),58.8,1881.6
ID0081,No,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.36,525.24
ID0082,No,Male,0,Yes,No,40,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),21.57,862.8
ID0083,Yes,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No,One year,No,Electronic check,65.78,1315.6
ID0084,No,Male,1,No,Yes,63,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,22.53,1419.39
ID0085,No,Male,0,Yes,No,44,Yes,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,77.03,3389.32
ID0086,No,Female,0,No,No,38,Yes,No phone service,No,No,No,No,No,Yes,No,One year,Yes,Mailed check,70.68,2685.84
ID0087,No,Male,0,Yes,Yes,60,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),104.0,6240.0
ID0088,No,Female,0,No,Yes,71,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),78.18,5550.780000000001
ID0089,No,Male,0,Yes,No,48,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),52.34,2512.32
ID0090,Yes,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,71.62,1289.16
ID0091,No,Female,1,No,No,16,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.97,1439.52
ID0092,No,Female,0,No,Yes,55,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),29.4,1617.0
ID0093,No,Female,0,No,Yes,39,Yes,No phone service,No,No,No internet service,No,Yes,No,No internet service,One year,Yes,Electronic check,82.11,3202.29
ID0094,No,Male,0,No,Yes,68,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,111.66,7592.88
ID0095,No,Male,0,No,Yes,59,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),49.91,2944.6899999999996
ID0096,No,Female,0,No,No,62,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Credit card (automatic),82.66,5124.92
ID0097,No,Female,0,Yes,Yes,13,Yes,No phone service,No,No,No internet service,No,No,Yes,No internet service,One year,Yes,Electronic check,102.13,1327.69
ID0098,Yes,Female,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,71.18,427.08000000000004
ID0099,Yes,Male,1,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Two year,Yes,Mailed check,91.8,5508.0
ID0100,Yes,Male,0,Yes,No,14,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),51.1,715.4
ID0101,No,Male,0,No,No,54,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,50.61,2732.94
ID0102,No,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),86.76,347.04
ID0103,No,Female,0,No,Yes,39,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),90.54,3531.0600000000004
ID0104,No,Female,0,No,No,72,Yes,No phone service,No,No,Yes,No,No internet service,No,No internet service,One year,Yes,Mailed check,113.7,8186.400000000001
ID0105,Yes,Female,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),42.48,1062.0
ID0106,No,Male,0,Yes,No,32,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,66.82,2138.24
ID0107,No,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,45.05,2657.95
ID0108,Yes,Male,0,No,No,63,Yes,No phone service,No,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),28.01,1764.63
ID0109,Yes,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),60.32,2292.16
ID0110,Yes,Female,1,Yes,No,53,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,57.41,3042.73
ID0111,Yes,Male,0,Yes,No,67,Yes,No,No,No internet service,Yes,No,Yes,Yes,No,Two year,No,Electronic check,47.04,3151.68
ID0112,No,Female,0,Yes,Yes,28,Yes,Yes,No,Yes,No,No,Yes,No,No internet service,Two year,No,Mailed check,49.7,1391.6000000000001
ID0113,No,Male,0,No,Yes,3,Yes,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,One year,No,Credit card (automatic),56.04,168.12
ID0114,No,Male,0,No,Yes,22,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,118.88,2615.3599999999997
ID0115,No,Female,0,No,Yes,38,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,No,Credit card (automatic),98.3,3735.4
ID0116,No,Male,1,No,Yes,72,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),27.14,1954.08
ID0117,Yes,Female,0,Yes,Yes,72,Yes,No,No,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,107.24,7721.28
ID0118,No,Male,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),83.33,5166.46
ID0119,No,Female,0,No,No,57,Yes,No phone service,No,No internet service,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),109.06,6216.42
ID0120,No,Female,0,No,Yes,6,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.17,325.02
ID0121,No,Female,0,No,Yes,32,Yes,No phone service,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,66.45,2126.4
ID0122,No,Male,0,No,No,10,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),109.62,1096.2
ID0123,Yes,Male,1,No,No,3,Yes,No phone service,No,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),47.26,141.78
ID0124,Yes,Female,0,No,No,59,Yes,No,DSL,No internet service,Yes,No,No internet service,No,Yes,One year,No,Electronic check,111.55,6581.45
ID0125,No,Female,0,No,Yes,49,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),102.85,5039.65
ID0126,No,Male,0,No,No,59,Yes,No phone service,No,Yes,No internet service,No,No,Yes,No,One year,No,Bank transfer (automatic),118.06,6965.54
ID0127,No,Male,0,No,Yes,31,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.43,1625.33
ID0128,Yes,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.58,3007.02
ID0129,No,Female,0,No,No,62,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),53.09,3291.5800000000004
ID0130,No,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),115.46,6003.92
ID0131,Yes,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),53.31,2185.71
ID0132,Yes,Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),76.52,2372.12
ID0133,No,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),60.37,1328.1399999999999
ID0134,No,Male,1,Yes,Yes,4,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),59.62,238.48
ID0135,No,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,39.34,511.4200000000001
ID0136,No,Female,0,No,Yes,45,Yes,Yes,No,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,73.71,3316.95
ID0137,No,Female,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,No,Mailed check,104.94,4407.48
ID0138,No,Female,1,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,24.95,1222.55
ID0139,No,Female,1,No,Yes,20,Yes,No phone service,No,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Electronic check,108.92,2178.4
ID0140,No,Female,0,No,Yes,54,Yes,No phone service,No,Yes,No,No internet service,No,No,No,Month-to-month,No,Mailed check,86.55,4673.7
ID0141,Yes,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Mailed check,81.67,2940.12
ID0142,No,Female,0,Yes,No,1,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),82.59,82.59
ID0143,No,Male,0,No,No,15,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.63,744.45
ID0144,Yes,Male,0,Yes,Yes,17,Yes,No,No,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,61.51,1045.67
ID0145,Yes,Female,0,Yes,Yes,24,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),99.93,2398.32
ID0146,No,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),50.64,2937.12
ID0147,No,Male,0,Yes,Yes,72,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),67.0,4824.0
ID0148,Yes,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,21.96,505.08000000000004
ID0149,Yes,Male,0,Yes,No,46,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),93.36,4294.56
ID0150,No,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Mailed check,61.77,4447.4400000000005
ID0151,Yes,Male,0,No,No,8,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,No,One year,Yes,Mailed check,72.54,580.32
ID0152,Yes,Male,0,Yes,Yes,59,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,31.47,1856.73
ID0153,No,Male,0,Yes,Yes,59,Yes,Yes,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,119.17,7031.03
ID0154,No,Female,0,Yes,No,13,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),50.25,653.25
ID0155,Yes,Female,1,Yes,Yes,39,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,83.5,3256.5
ID0156,No,Female,0,Yes,No,28,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,78.12,2187.36
ID0157,No,Male,0,Yes,Yes,61,Yes,No,No,No internet service,Yes,No,No internet service,No,No,One year,No,Electronic check,98.51,6009.110000000001
ID0158,Yes,Female,0,Yes,Yes,16,Yes,Yes,No,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),49.38,790.08
ID0159,No,Male,0,Yes,Yes,2,Yes,No phone service,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,95.59,191.18
ID0160,No,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),58.25,990.25
ID0161,No,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),61.12,1833.6
ID0162,No,Male,1,Yes,No,13,Yes,No,No,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),87.27,1134.51
ID0163,No,Female,0,Yes,Yes,13,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),98.43,1279.5900000000001
ID0164,Yes,Female,1,Yes,Yes,43,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),86.69,3727.67
ID0165,No,Male,1,No,No,21,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),109.99,2309.79
ID0166,No,Female,0,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,One year,No,Mailed check,48.52,2668.6000000000004
ID0167,Yes,Male,1,No,No,40,Yes,Yes,No,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,110.06,4402.4
ID0168,Yes,Female,0,No,No,15,Yes,No phone service,No,No,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,33.09,496.35
ID0169,No,Female,0,No,No,52,No,No,No,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),85.95,4469.400000000001
ID0170,No,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,No,Bank transfer (automatic),74.76,3962.28
ID0171,Yes,Female,1,No,Yes,52,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,One year,No,Mailed check,69.46,3611.9199999999996
